Date,Kasaragod,Kannur,Wayanad,Kozhikode,Malappuram,Palakkad,Thrissur,Ernakulam,Idukki,Kottayam,Pathanamthitta,Alappuzha,Kollam,Thiruvananthapuram
1-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jan,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3-Feb,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Mar,0,1,0,0,0,0,0,0,0,0,5,0,0,0
10-Mar,0,2,0,0,0,0,0,0,0,2,4,0,0,0
11-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Mar,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Mar,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16-Mar,1,0,0,0,2,0,0,0,0,0,0,0,0,0
17-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Mar,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Mar,6,0,0,0,0,0,0,6,0,0,0,0,0,0
21-Mar,6,3,0,0,0,0,0,3,0,0,0,0,0,0
22-Mar,5,4,0,2,2,0,0,2,0,0,0,0,0,0
23-Mar,19,5,0,0,0,0,1,2,0,0,1,0,0,0
24-Mar,6,0,0,2,1,1,0,1,0,1,0,1,0,1
25-Mar,0,0,0,1,0,2,0,3,1,0,2,0,0,0
26-Mar,3,9,1,0,3,0,2,0,1,0,0,0,0,0
27-Mar,34,2,0,1,0,0,1,0,0,0,0,0,1,0
28-Mar,1,0,0,0,1,1,0,0,0,0,0,0,1,2
29-Mar,7,8,0,0,1,1,1,1,0,0,0,0,0,1
30-Mar,17,11,2,0,0,0,0,0,2,0,0,0,0,0
31-Mar,2,1,0,0,0,0,1,0,0,0,0,0,1,2
1-Apr,12,2,0,0,2,1,2,3,0,0,0,0,0,2
2-Apr,8,1,0,1,1,0,1,0,5,0,1,0,2,1
3-Apr,7,1,0,0,0,0,1,0,0,0,0,0,0,0
4-Apr,6,1,0,0,0,1,0,1,0,0,0,1,1,0
5-Apr,1,1,0,5,0,0,0,0,0,0,1,0,0,0
6-Apr,9,0,0,0,2,0,0,0,0,0,1,0,1,0
7-Apr,4,2,0,0,1,0,0,0,0,0,0,0,1,0
8-Apr,1,4,0,0,0,0,1,0,0,0,1,2,0,0
9-Apr,4,4,0,0,2,0,0,0,0,0,0,0,1,1
10-Apr,3,2,0,0,2,0,0,0,0,0,0,0,0,0
11-Apr,2,7,0,1,0,0,0,0,0,0,0,0,0,0
12-Apr,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13-Apr,0,2,0,0,0,1,0,0,0,0,0,0,0,0
14-Apr,1,4,0,3,0,0,0,0,0,0,0,0,0,0
15-Apr,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16-Apr,1,4,0,2,0,0,0,0,0,0,0,0,0,0
17-Apr,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18-Apr,0,3,0,1,0,0,0,0,0,0,0,0,0,0
19-Apr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,0,6,0,0,0,0,0,0,0,0,0,0,0,0
21-Apr,3,10,0,0,1,4,0,0,0,0,0,0,1,0
22-Apr,0,7,0,2,1,0,0,0,0,1,0,0,0,0
23-Apr,0,0,0,2,0,0,0,0,4,2,0,0,1,1
24-Apr,3,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Apr,0,1,0,0,0,0,0,0,0,3,0,0,3,0
26-Apr,0,0,0,0,0,0,0,0,6,5,0,0,0,0
27-Apr,0,1,0,0,1,1,0,0,4,6,0,0,0,0
28-Apr,1,3,0,0,0,0,0,0,0,0,0,0,0,0
29-Apr,1,1,0,0,0,0,0,0,0,0,0,0,6,2
30-Apr,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-May,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-May,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-May,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9-May,0,0,0,0,2,0,0,0,0,0,0,0,0,0
